DT02_02,Denied_average: ...stay at a hospital due to a different disease and be denied treatment?,METRIC,SCALE,How probable is //__an average person__// to suffer indirectly from the spread of the new corona virus? That is. how probable is it that //__this person__// will need to...
IO01_01,Infects_others_you: ...a family member?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO01_02,Infects_others_you: ...a friend?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO01_03,Infects_others_you: ...a work colleague?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO01_04,Infects_others_you: ...a stranger during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO01_05,Infects_others_you: …a stranger during travelling for leisure?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO01_06,Infects_others_you: …a stranger during commuting to work or shopping necessities?,METRIC,SCALE,If //__you__// were infected with the new corona virus. how probable would it be that //__you__// transmit the virus to...
IO02_01,Infects_others_average: ...a family member?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
IO02_02,Infects_others_average: ...a friend?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
IO02_03,Infects_others_average: ...a work colleague?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
IO02_04,Infects_others_average: ...a stranger during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
IO02_05,Infects_others_average: …a stranger during travelling for leisure?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
IO02_06,Infects_others_average: …a stranger during commuting to work or shopping necessities?,METRIC,SCALE,If //__an average person__// were infected with the new corona virus. how probable would it be that //__this person__// transmits the virus to ...
PA01_01,Test_you_STD: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__you__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA01_02,Test_you_STD: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__you__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA01_03,Test_you_STD: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__you__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA01_04,Test_you_STD: ...in your lifetime?,METRIC,SCALE,What do you think is the probability that //__you__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA03_01,Test_you_bone: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__you__// will break a bone in an accident...
PA03_02,Test_you_bone: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__you__// will break a bone in an accident...
PA03_03,Test_you_bone: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__you__// will break a bone in an accident...
PA03_04,Test_you_bone: ...in your lifetime?,METRIC,SCALE,What do you think is the probability that //__you__// will break a bone in an accident...
PA02_01,Test_average_STD: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__an average person__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA02_02,Test_average_STD: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__an average person__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA02_03,Test_average_STD: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__an average person__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA02_04,Test_average_STD: ...in their lifetime?,METRIC,SCALE,What do you think is the probability that //__an average person__// will get a sexually transmitted disease (STD) such as chlamydia. gonorrhea. HIV/AIDS. etc...
PA04_01,Test_average_bone: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__an average person__// will break a bone in an accident...
PA04_02,Test_average_bone: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__an average person__// will break a bone in an accident...
PA04_03,Test_average_bone: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__an average person__// will break a bone in an accident...
PA04_04,Test_average_bone: ...in their lifetime?,METRIC,SCALE,What do you think is the probability that //__an average person__// will break a bone in an accident...
PA05_01,Test_you_influenza: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the flu (i.e.. influenza)...
PA05_02,Test_you_influenza: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the flu (i.e.. influenza)...
PA05_03,Test_you_influenza: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the flu (i.e.. influenza)...
PA05_04,Test_you_influenza: ...in your lifetime?,METRIC,SCALE,What do you think is the probability that //__you__// will be infected with the flu (i.e.. influenza)...
PA06_01,Test_average_influenza: ...in the next 2 weeks?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the flu (i.e.. influenza)...
PA06_02,Test_average_influenza: ...in the next 2 months?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the flu (i.e.. influenza)...
PA06_03,Test_average_influenza: ...in the next year?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the flu (i.e.. influenza)...
PA06_04,Test_average_influenza: ...in their lifetime?,METRIC,SCALE,What do you think is the probability that //__an average person__// will be infected with the flu (i.e.. influenza)...
CQ01_01,Symptoms_corona: Cough,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_02,Symptoms_corona: Fever,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_03,Symptoms_corona: Runny nose,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_04,Symptoms_corona: Diarrhea,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_06,Symptoms_corona: Headache,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_07,Symptoms_corona: Rash,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_08,Symptoms_corona: Restlessness,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_09,Symptoms_corona: Fatigue,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_10,Symptoms_corona: Difficulty breathing,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ01_11,Symptoms_corona: Sore throat,METRIC,SCALE,Which of the following is a symptom of the new corona virus? If you are unsure about an item. answer in the middle of the range (50%).
CQ08_01,Symptoms_self: Cough,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_02,Symptoms_self: Fever,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_03,Symptoms_self: Runny nose,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_04,Symptoms_self: Diarrhea,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_06,Symptoms_self: Headache,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_07,Symptoms_self: Rash,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_08,Symptoms_self: Restlessness,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_09,Symptoms_self: Fatigue,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_10,Symptoms_self: Difficulty breathing,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ08_11,Symptoms_self: Sore throat,ORDINAL,SCALE,Have you had any of these symptoms in the past month?
CQ02,Infections_known_you_direct,NOMINAL,SELECTION,How many people do you directly know who are/were definitely infected with the new corona virus?
CQ03,Infections_known_you_indirect,NOMINAL,SELECTION,How many people do you know who know at least one person who is/was definitely infected with the new corona virus?
CQ06,Health_you,NOMINAL,SELECTION,How would you describe //__your__// overall health?
CQ07,Health_average,NOMINAL,SELECTION,How would you describe //__the average person's__// overall health?
NI01_01,Social_contacts: …family members?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI01_02,Social_contacts: …friends?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI01_03,Social_contacts: …work colleagues?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI01_04,Social_contacts: …strangers during recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI01_05,Social_contacts: …strangers during travelling for leisure?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI01_06,Social_contacts: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Usually. how often do //__you__// have direct physical contact with...
NI06_01,Social_contacts_ave: …family members?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI06_02,Social_contacts_ave: …friends?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI06_03,Social_contacts_ave: …work colleagues?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI06_04,Social_contacts_ave: …strangers during recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI06_05,Social_contacts_ave: …strangers during travelling for leisure?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI06_06,Social_contacts_ave: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Usually. how often does //__an average person__// have direct physical contact with...
NI02_01,Social_voluntary: Meeting family members,METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI02_02,Social_voluntary: Meeting friends,METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI02_03,Social_voluntary: Meeting work colleagues,METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI02_04,Social_voluntary: Recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events),METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI02_05,Social_voluntary: Travelling for leisure,METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI02_06,Social_voluntary: Commuting to work or shopping necessities,METRIC,SCALE,To avoid the spread of the new corona virus. how much have //__you__// reduced the following activities or are //__you__// planning to do so within the next weeks //__of your own accord __// (i.e.. not because of government regulations or because certain places are closed. but because //__you__// decided to)?
NI07_01,Social_voluntary_ave: Meeting family members,METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI07_02,Social_voluntary_ave: Meeting friends,METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI07_03,Social_voluntary_ave: Meeting work colleagues,METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI07_04,Social_voluntary_ave: Recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events),METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI07_05,Social_voluntary_ave: Travelling for leisure,METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI07_06,Social_voluntary_ave: Commuting to work or shopping necessities,METRIC,SCALE,To avoid the spread of the new corona virus. how much has //__an average person__// reduced the following activities or is //__this person__// planning to do so within the next weeks //__of their own accord __//?
NI04_01,Social_forced_ave: Meeting family members,METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI04_02,Social_forced_ave: Meeting friends,METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI04_03,Social_forced_ave: Meeting work colleagues,METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI04_04,Social_forced_ave: Recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events),METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI04_05,Social_forced_ave: Travelling for leisure,METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI04_06,Social_forced_ave: Commuting to work or shopping necessities,METRIC,SCALE,How much do you think that //__an average person__// is or will be //__forced__// to reduce the following activities within the next weeks?
NI08_01,Social_forced: Meeting family members,METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI08_02,Social_forced: Meeting friends,METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI08_03,Social_forced: Meeting work colleagues,METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI08_04,Social_forced: Recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events),METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI08_05,Social_forced: Travelling for leisure,METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI08_06,Social_forced: Commuting to work or shopping necessities,METRIC,SCALE,How much do you think that //__you__// are or will be //__forced__// to reduce the following activities within the next weeks (because of government regulations or because certain places are closed)?
NI05_01,Social_fear: ...meeting family members?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI05_02,Social_fear: ...meeting friends?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI05_03,Social_fear: ...meeting work colleagues?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI05_04,Social_fear: ...recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI05_05,Social_fear: ...travelling for leisure?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI05_06,Social_fear: ...commuting to work or shopping necessities?,METRIC,SCALE,Do you think that //__your__// life will suffer from corona-virus-related reductions in...
NI09_01,Social_fear_ave: ...meeting family members?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI09_02,Social_fear_ave: ...meeting friends?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI09_03,Social_fear_ave: ...meeting work colleagues?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI09_04,Social_fear_ave: ...recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI09_05,Social_fear_ave: ...travelling for leisure?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI09_06,Social_fear_ave: commuting to work or shopping necessities?,METRIC,SCALE,Do you think that //__the average person's__// life will suffer from corona-virus-related reductions in...
NI03_01,Social_pleasure: ...meeting family members?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI03_02,Social_pleasure: ...meeting friends?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI03_03,Social_pleasure: ...meeting work colleagues?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI03_04,Social_pleasure: ...recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI03_05,Social_pleasure: ...travelling for leisure?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI03_06,Social_pleasure: ...commuting to work or shopping necessities?,METRIC,SCALE,How much do //__you__// usually enjoy...
NI10_01,Social_pleasure_ave: ...meeting family members?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
NI10_02,Social_pleasure_ave: ...meeting friends?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
NI10_03,Social_pleasure_ave: ...meeting work colleagues?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
NI10_04,Social_pleasure_ave: ...recreational activities in public spaces (e.g. eat at restaurants. go to concerts or sporting events)?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
NI10_05,Social_pleasure_ave: ...travelling for leisure?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
NI10_06,Social_pleasure_ave: ...commuting to work or shopping necessities?,METRIC,SCALE,How much does //__an average person__// usually enjoy...
R202_21,Differences_you_average: ...does the current situation put you under stress and anxiety?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_22,Differences_you_average: ...does the current situation put an average person under stress and anxiety?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_23,Differences_you_average: ...do you worry about your financial future and/or about losing your job?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R202_24,Differences_you_average: ...does an average person worry about their financial future and/or about losing their job?,METRIC,SCALE,Questions about the current situation given the spread of the new corona virus: To what extent...
R214_01,If_infected_self: The government of my country did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__you__// if //__you__// were infected or are infected with COVID-19:
R214_02,If_infected_self: The local authorities did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__you__// if //__you__// were infected or are infected with COVID-19:
R214_03,If_infected_self: My employer / company I work for did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__you__// if //__you__// were infected or are infected with COVID-19:
R214_04,If_infected_self: My friends and family did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__you__// if //__you__// were infected or are infected with COVID-19:
R214_05,If_infected_self: I did everything I could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__you__// if //__you__// were infected or are infected with COVID-19:
R215_01,If_infected_average: The government of that person's country did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__an average person__// if //__they__// were infected or are infected with COVID-19:
R215_02,If_infected_average: The local authorities did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__an average person__// if //__they__// were infected or are infected with COVID-19:
R215_03,If_infected_average: The employer / company an average person works for did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__an average person__// if //__they__// were infected or are infected with COVID-19:
R215_04,If_infected_average: The average person's friends and family did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__an average person__// if //__they__// were infected or are infected with COVID-19:
R215_05,If_infected_average: The average person did everything they could to prevent this from happening,METRIC,SCALE,How much do you think the following statements are true for //__an average person__// if //__they__// were infected or are infected with COVID-19:
R207_01,Reduction_voluntary_self: ...family members?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R207_02,Reduction_voluntary_self: ...friends?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R207_03,Reduction_voluntary_self: ...work colleagues?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R207_04,Reduction_voluntary_self: ...strangers during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R207_05,Reduction_voluntary_self: …strangers during travelling for leisure?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R207_06,Reduction_voluntary_self: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Compared to usually. how much did //__you voluntarily__// reduce physical contacts //__in the past week__// with...
R209_01,Reduction_voluntary_average: ...family members?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R209_02,Reduction_voluntary_average: ...friends?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R209_03,Reduction_voluntary_average: ...work colleagues?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R209_04,Reduction_voluntary_average: ...strangers during recreational activities in public spaces (e.g. eating at restaurants. going to concerts or sporting events)?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R209_05,Reduction_voluntary_average: …strangers during travelling for leisure?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R209_06,Reduction_voluntary_average: …strangers during commuting to work or shopping necessities?,METRIC,SCALE,Compared to usually. how much did //__an average person voluntarily__// reduce physical contacts //__in the past week__// with...
R210_01,Reduction_forced_self: ...family members?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
R210_02,Reduction_forced_self: ...friends?,METRIC,SCALE,Compared to usually. how much were //__you forced__// to reduce physical contacts //__in the past week__// with...
